Date,Java_version,Oracle_version,Python_version,.NET_version
23-01-1996,Java 1.0,NA,NA,NA
19-02-1997,Java 1.1,NA,NA,NA
08-12-1998,Java 1.2 (Java 2),NA,NA,NA
08-05-2008,Java 1.3,NA,NA,NA
06-02-2002,Java 1.4,NA,NA,NA
30-09-2004,Java 5 (1.5),NA,NA,NA
11-12-2006,Java 6,NA,NA,NA
28-07-2011,Java 7,NA,NA,NA
18-03-2014,Java 8,NA,NA,NA
21-09-2017,Java 9,NA,NA,NA
20-03-2018,Java 10,NA,NA,NA
25-09-2018,Java 11 (LTS),NA,NA,NA
19-03-2019,Java 12,NA,NA,NA
17-09-2019,Java 13,NA,NA,NA
17-03-2020,Java 14,NA,NA,NA
15-09-2020,Java 15,NA,NA,NA
16-03-2021,Java 16,NA,NA,NA
14-09-2021,Java 17 (LTS),NA,NA,NA
22-03-2022,Java 18,NA,NA,NA
30-09-2022,Java 19,NA,NA,NA
21-03-2023,Java 20,NA,NA,NA
19-09-2023,Java 21,NA,NA,NA
01-06-1992,NA,Oracle 7,NA,NA
01-06-1997,NA,Oracle 8,NA,NA
01-07-1999,NA,Oracle 8i,NA,NA
01-06-2001,NA,Oracle 9i,NA,NA
01-01-2004,NA,Oracle 10g,NA,NA
01-09-2007,NA,Oracle 11g Release 1 (11.1),NA,NA
01-09-2009,NA,Oracle 11g Release 2 (11.2),NA,NA
01-07-2013,NA,Oracle 12c Release 1 (12.1),NA,NA
01-03-2017,NA,Oracle 12c Release 2 (12.2),NA,NA
01-02-2018,NA,Oracle 18c,NA,NA
01-01-2019,NA,Oracle 19c,NA,NA
01-12-2020,NA,Oracle 21c,NA,NA
26-01-1994,NA,NA,Python 1.0,NA
11-10-1994,NA,NA,Python 1.1,NA
10-04-1995,NA,NA,Python 1.2,NA
12-10-1995,NA,NA,Python 1.3,NA
25-10-1996,NA,NA,Python 1.4,NA
31-12-1997,NA,NA,Python 1.5,NA
05-09-2000,NA,NA,Python 1.6,NA
16-10-2000,NA,NA,Python 2.0,NA
17-04-2001,NA,NA,Python 2.1,NA
21-12-2001,NA,NA,Python 2.2,NA
29-07-2003,NA,NA,Python 2.3,NA
30-11-2004,NA,NA,Python 2.4,NA
19-09-2006,NA,NA,Python 2.5,NA
01-10-2008,NA,NA,Python 2.6,NA
03-07-2010,NA,NA,Python 2.7,NA
03-12-2008,NA,NA,Python 3.0,NA
27-06-2009,NA,NA,Python 3.1,NA
20-02-2011,NA,NA,Python 3.2,NA
29-09-2012,NA,NA,Python 3.3,NA
16-03-2014,NA,NA,Python 3.4,NA
13-09-2015,NA,NA,Python 3.5,NA
23-12-2016,NA,NA,Python 3.6,NA
27-06-2018,NA,NA,Python 3.7,NA
14-10-2019,NA,NA,Python 3.8,NA
05-10-2020,NA,NA,Python 3.9,NA
04-10-2021,NA,NA,Python 3.10,NA
24-10-2022,NA,NA,Python 3.11,NA
02-10-2023,NA,NA,Python 3.12,NA
13-02-2002,NA,NA,NA,.NET Framework 1.0
24-04-2003,NA,NA,NA,.NET Framework 1.1
07-11-2005,NA,NA,NA,.NET Framework 2.0
06-11-2006,NA,NA,NA,.NET Framework 3.0
19-11-2007,NA,NA,NA,.NET Framework 3.5
12-04-2010,NA,NA,NA,.NET Framework 4.0
15-08-2012,NA,NA,NA,.NET Framework 4.5
17-10-2013,NA,NA,NA,.NET Framework 4.5.1
05-05-2014,NA,NA,NA,.NET Framework 4.5.2
20-07-2015,NA,NA,NA,.NET Framework 4.6
30-11-2015,NA,NA,NA,.NET Framework 4.6.1
02-08-2016,NA,NA,NA,.NET Framework 4.6.2
02-05-2017,NA,NA,NA,.NET Framework 4.7
17-10-2017,NA,NA,NA,.NET Framework 4.7.1
30-04-2018,NA,NA,NA,.NET Framework 4.7.2
18-04-2019,NA,NA,NA,.NET Framework 4.8
